,ï»¿REGULATING_AGENCY,WATER_SYSTEM_NUMBER,WATER_SYSTEM_NAME,CLASSIFICATION,POPULATION,SERVICE_CONNECTIONS,COUNTY,CITY,ZIPCODE,VIOLATION_NUMBER,VIOLATION_TYPE_NAME,ANALYTE_NAME,RESULT,MCL,VIOL_BEGIN_DATE,VIOL_END_DATE,ENF_ACTION_NUMBER,ENF_ACTION_ISSUE_DATE,ENF_ACTION_TYPE_ISSUED
1941,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912026,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,7/1/14,9/30/14,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1942,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912027,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,10/1/14,12/31/14,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1943,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912027,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,10/1/14,12/31/14,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1944,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912028,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,1/1/15,3/31/15,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1945,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912029,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,4/1/15,6/30/15,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1946,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912030,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,7/1/15,9/30/15,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1947,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912031,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/15,12/31/15,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1948,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912031,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/15,12/31/15,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1949,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912032,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,1/1/16,3/31/16,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1950,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912032,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,1/1/16,3/31/16,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1951,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912033,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,4/1/16,6/30/16,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1952,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912033,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,4/1/16,6/30/16,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1953,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912035,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,7/1/16,9/30/16,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1954,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912035,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,7/1/16,9/30/16,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1955,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912036,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/16,12/31/16,919041,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1956,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912036,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/16,12/31/16,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1957,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912037,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,1/1/17,3/31/17,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1958,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912038,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,4/1/17,6/30/17,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1959,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912039,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,7/1/17,9/30/17,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1960,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912040,"MCL,  AVERAGE",ARSENIC,0.012 MG/L,0.010 MG/L,10/1/17,12/31/17,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1961,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912041,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,1/1/18,3/31/18,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1962,DISTRICT 12 - VISALIA,CA1502383,NORD ROAD WATER ASSOCIATION,COMMUNITY,32,16,KERN,BAKERSFIELD,93312,9912042,"MCL,  AVERAGE",ARSENIC,0.014 MG/L,0.010 MG/L,4/1/18,6/30/18,9919019,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1963,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,1119032,"MCL,  AVERAGE",ARSENIC,.01100000 MG/L,0.010 MG/L,1/1/12,3/31/12,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1964,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,1119032,"MCL,  AVERAGE",ARSENIC,.01100000 MG/L,0.010 MG/L,1/1/12,3/31/12,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1965,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,1219033,"MCL,  AVERAGE",ARSENIC,.01100000 MG/L,0.010 MG/L,7/1/12,9/30/12,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1966,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,1219033,"MCL,  AVERAGE",ARSENIC,.01100000 MG/L,0.010 MG/L,7/1/12,9/30/12,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1967,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619003,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/12,12/31/12,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1968,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619003,"MCL,  AVERAGE",ARSENIC,0.013 MG/L,0.010 MG/L,10/1/12,12/31/12,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1969,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619004,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,1/1/13,3/31/13,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1970,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619004,"MCL,  AVERAGE",ARSENIC,0.015 MG/L,0.010 MG/L,1/1/13,3/31/13,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1971,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619005,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,4/1/13,6/30/13,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1972,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619005,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,4/1/13,6/30/13,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1973,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619006,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,7/1/13,9/30/13,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1974,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619006,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,7/1/13,9/30/13,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1975,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619007,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,10/1/13,12/31/13,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1976,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619007,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,10/1/13,12/31/13,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1977,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619008,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,1/1/14,3/31/14,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1978,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619008,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,1/1/14,3/31/14,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1979,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619009,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,4/1/14,6/30/14,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1980,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619009,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,4/1/14,6/30/14,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1981,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619010,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,7/1/14,9/30/14,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1982,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619010,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,7/1/14,9/30/14,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1983,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619011,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,10/1/14,12/31/14,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1984,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619011,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,10/1/14,12/31/14,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1985,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619012,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,1/1/15,3/31/15,1119026,3/5/18,STATE INTENTIONAL NO ACTION TAKEN
1986,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619012,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,1/1/15,3/31/15,919020,1/23/09,FORMAL ENFORCEMENT ACTION ISSUED
1987,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619014,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,4/1/15,6/30/15,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1988,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619015,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,7/1/15,9/30/15,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1989,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619016,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,10/1/15,12/31/15,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1990,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619017,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,1/1/16,3/31/16,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1991,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619020,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,4/1/16,6/30/16,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1992,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619021,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/16,9/30/16,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1993,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619023,"MCL,  AVERAGE",ARSENIC,0.029 MG/L,0.010 MG/L,10/1/16,12/31/16,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1994,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619025,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,1/1/17,3/31/17,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1995,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619027,"MCL,  AVERAGE",ARSENIC,.017 MG/L,0.010 MG/L,4/1/17,6/30/17,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1996,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619028,"MCL,  AVERAGE",ARSENIC,0.016 MG/L,0.010 MG/L,7/1/17,9/30/17,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1997,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619029,"MCL,  AVERAGE",ARSENIC,.017 MG/L,0.010 MG/L,10/1/17,12/31/17,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1998,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619030,"MCL,  AVERAGE",ARSENIC,0.017 MG/L,0.010 MG/L,1/1/18,3/31/18,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
1999,DISTRICT 19 - TEHACHAPI,CA1502569,FIRST MUTUAL WATER SYSTEM,COMMUNITY,35,15,KERN,ROSAMOND,93560,9619031,"MCL,  AVERAGE",ARSENIC,0.018 MG/L,0.010 MG/L,4/1/18,6/30/18,1119023,5/26/15,FORMAL ENFORCEMENT ACTION ISSUED
2037,DISTRICT 12 - VISALIA,CA1502699,EAST WILSON ROAD WATER COMPANY,COMMUNITY,35,14,KERN,BAKERSFIELD,93307,9412030,STATE PRIMARY MCL VIOL - NOT CR6,"1,2,3-TRICHLOROPROPANE",0.000015 MG/L,0.000005 MG/L,1/1/18,3/31/18,9519010,3/15/18,CA STATE ACTION ISSUED
2040,DISTRICT 19 - TEHACHAPI,CA1502744,60TH STREET ASSOC. WATER SYSTEM,COMMUNITY,39,10,KERN,ROSAMOND,93560,1119004,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,7/1/15,9/30/15,1119001,7/19/11,FORMAL ENFORCEMENT ACTION ISSUED
2041,DISTRICT 19 - TEHACHAPI,CA1502744,60TH STREET ASSOC. WATER SYSTEM,COMMUNITY,39,10,KERN,ROSAMOND,93560,1119005,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,10/1/15,12/31/15,1119001,7/19/11,FORMAL ENFORCEMENT ACTION ISSUED
2042,DISTRICT 19 - TEHACHAPI,CA1502744,60TH STREET ASSOC. WATER SYSTEM,COMMUNITY,39,10,KERN,ROSAMOND,93560,1119006,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,1/1/16,3/31/16,1119001,7/19/11,FORMAL ENFORCEMENT ACTION ISSUED
2043,DISTRICT 19 - TEHACHAPI,CA1502744,60TH STREET ASSOC. WATER SYSTEM,COMMUNITY,39,10,KERN,ROSAMOND,93560,1119007,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/16,6/30/16,1119001,7/19/11,FORMAL ENFORCEMENT ACTION ISSUED
2044,DISTRICT 19 - TEHACHAPI,CA1502744,60TH STREET ASSOC. WATER SYSTEM,COMMUNITY,39,10,KERN,ROSAMOND,93560,1119011,"MCL,  AVERAGE",ARSENIC,0.011 MG/L,0.010 MG/L,4/1/18,6/30/18,1119001,7/19/11,FORMAL ENFORCEMENT ACTION ISSUED
2069,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,1212129,"MCL,  AVERAGE",ARSENIC,.03200000 MG/L,0.010 MG/L,1/1/12,3/31/12,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2070,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,1212130,"MCL,  AVERAGE",ARSENIC,.03170000 MG/L,0.010 MG/L,4/1/12,6/30/12,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2071,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,1212131,"MCL,  AVERAGE",ARSENIC,.03000000 MG/L,0.010 MG/L,7/1/12,9/30/12,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2072,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912019,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,10/1/12,12/31/12,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2073,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912021,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,1/1/13,3/31/13,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2074,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912022,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,4/1/13,6/30/13,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2075,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912023,"MCL,  AVERAGE",ARSENIC,0.034 MG/L,0.010 MG/L,7/1/13,9/30/13,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2076,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912024,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,10/1/13,12/31/13,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2077,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912026,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,1/1/14,3/31/14,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2078,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912027,"MCL,  AVERAGE",ARSENIC,0.032 MG/L,0.010 MG/L,4/1/14,6/30/14,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2079,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912028,"MCL,  AVERAGE",ARSENIC,0.033 MG/L,0.010 MG/L,7/1/14,9/30/14,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2080,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912029,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,10/1/14,12/31/14,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2081,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912030,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,1/1/15,3/31/15,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2082,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912031,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,4/1/15,6/30/15,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2083,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912032,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,7/1/15,9/30/15,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2084,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912033,"MCL,  AVERAGE",ARSENIC,0.030 MG/L,0.010 MG/L,10/1/15,12/31/15,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
2085,DISTRICT 12 - VISALIA,CA1510001,ARVIN COMMUNITY SERVICES DIST,COMMUNITY,20850,3885,KERN,ARVIN,93203,9912034,"MCL,  AVERAGE",ARSENIC,0.031 MG/L,0.010 MG/L,1/1/16,3/31/16,US EPA#PWS-AOC-2015-6001,9/29/15,US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT
