" 

NEW OFFICE IN WATSONVILLE, CA

We are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.","September 17, 2018","['Fresno', 'Watsonville', 'Porterville', 'Sacramento', 'Visalia']","['Sacramento', 'Fresno']",August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
"
Two years later, the Harter report from UC Davis came out, stating that 96 percent of human-generated nitrates entering groundwater in the Tulare Lake Basin and Salinas Valley came from cropland.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
Tulare County Supervisor Allen Ishida, a citrus farmer from Lindsay, said the report failed to determine exactly where nitrates came from.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
“Harter was not asked to source the nitrates or age the water,” he said, pointing out that some water has been in the ground for eons and that nitrates can (come) from sources besides farms.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
Cristobal Chavez, 58, tested his well at his home near Poplar four months ago and found it was too high in nitrates to be safe to drink.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"html


 
A state water agency has told some farmers in Tulare County that their operations caused nitrates to get into drinking water, and that the contamination must be replaced with a clean source.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
" Nitrates are a byproduct of nitrogen in fertilizers used in agriculture for decades, although some farmers point out nitrates also occur naturally.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"6 million people rely on groundwater polluted by nitrates, including many of the poorest communities in the state.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"”
Problems with the water
The problem of nitrates in drinking water has been a ticking time bomb in farm country for years, especially since 2010, when the Legislature ordered the State Water Resources Control Board to prepare a report about nitrates in drinking water.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
Two years later, the Harter report from UC Davis came out, stating that 96 percent of human-generated nitrates entering groundwater in the Tulare Lake Basin and Salinas Valley came from cropland.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
Tulare County Supervisor Allen Ishida, a citrus farmer from Lindsay, said the report failed to determine exactly where nitrates came from.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
“Harter was not asked to source the nitrates or age the water,” he said, pointing out that some water has been in the ground for eons and that nitrates can (come) from sources besides farms.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
"
Cristobal Chavez, 58, tested his well at his home near Poplar four months ago and found it was too high in nitrates to be safe to drink.","October 22, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Poplar', 'Fresno', 'Citrus', 'Tulare', 'Davis', 'Orange', 'Salinas', 'Sacramento', 'Visalia', 'Ivanhoe']","['Fresno', 'Tulare', 'Orange', 'Lake', 'Sacramento']",State Letter to Farmers Demands Water to Fix Nitrate Problem - Community Water Center,https://www.communitywatercenter.org/state_letter_to_farmers
" Residents of Arvin explained that although they live in a low-income community, they have had great difficulty accessing adequate funding to finance a water treatment facility, which means residents have been dealing with arsenic-contaminated water for over 10 years.","October 07, 2016","['Arvin', 'Seville', 'Fresno', 'Porterville']",['Fresno'],AGUA and CWC Host Federal EPA Officials - Community Water Center,https://www.communitywatercenter.org/epa_officials
" For instance, Seville residents had recently received a boil water notice that said to boil water to address bacterial contamination, but not to serve boiled water to infants because it might have high nitrate levels.","October 07, 2016","['Arvin', 'Seville', 'Fresno', 'Porterville']",['Fresno'],AGUA and CWC Host Federal EPA Officials - Community Water Center,https://www.communitywatercenter.org/epa_officials
" These confusing messages, which left older residents wondering why their health wasn’t of concern with nitrates, which can cause cancer through long-term consumption.","October 07, 2016","['Arvin', 'Seville', 'Fresno', 'Porterville']",['Fresno'],AGUA and CWC Host Federal EPA Officials - Community Water Center,https://www.communitywatercenter.org/epa_officials
" These confusing messages, which left older residents wondering why their health wasn’t of concern with nitrates, which can cause cancer through long-term consumption.","October 07, 2016","['Arvin', 'Seville', 'Fresno', 'Porterville']",['Fresno'],AGUA and CWC Host Federal EPA Officials - Community Water Center,https://www.communitywatercenter.org/epa_officials
"

Agricultural fertilizers as well as cow manure from dairy farms have led to domestic wells in California's Central Valley having dangerously high levels of nitrates ©Robyn Beck (AFP)

For years, Cristobal Chavez has been drinking the water directly from the faucet, never imagining that he, his wife and their children were in danger of nitrate poisoning.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
Several months ago, the Community Water Center (CWC) nonprofit association discovered that water in the family's well contained twice as many nitrates as the maximum allowed under state standards.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
According to a study by the University of California, Davis, some 250,000 people in the region are at risk of excessive exposure to nitrates.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
- 'Health emergency' -
The toxic effects of nitrates are widely recognized by World Health Organization and US health officials, and are particularly dangerous for children and pregnant women.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
California's Public Health Department was unable to provide statistics on blue baby syndrome, and says it does not collect data on the broader impact of nitrates in the Central Valley.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
Honorio Nunez, who is Mexican and makes a living picking oranges, discovered with the help of CWC that his tap water in Porterville is contaminated with nitrates and bacteria.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
""The vast number of smaller communities with this nitrate contamination are a ticking time bomb,"" Brockovich said.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
Authorities have indicated a willingness to toughen legislation on the amount of nitrates farmers can use, but are still in the information gathering stage.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
""If we don't do anything 80 percent of people (in parts of the Central Valley) could be impacted by nitrates by 2050,"" said Deborah Ores of the CWC.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
But when they find out about the nitrates, all hope will be lost, he said.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"

Agricultural fertilizers as well as cow manure from dairy farms have led to domestic wells in California's Central Valley having dangerously high levels of nitrates ©Robyn Beck (AFP)

For years, Cristobal Chavez has been drinking the water directly from the faucet, never imagining that he, his wife and their children were in danger of nitrate poisoning.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
Several months ago, the Community Water Center (CWC) nonprofit association discovered that water in the family's well contained twice as many nitrates as the maximum allowed under state standards.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
According to a study by the University of California, Davis, some 250,000 people in the region are at risk of excessive exposure to nitrates.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
- 'Health emergency' -
The toxic effects of nitrates are widely recognized by World Health Organization and US health officials, and are particularly dangerous for children and pregnant women.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
California's Public Health Department was unable to provide statistics on blue baby syndrome, and says it does not collect data on the broader impact of nitrates in the Central Valley.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
Honorio Nunez, who is Mexican and makes a living picking oranges, discovered with the help of CWC that his tap water in Porterville is contaminated with nitrates and bacteria.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
Authorities have indicated a willingness to toughen legislation on the amount of nitrates farmers can use, but are still in the information gathering stage.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
""If we don't do anything 80 percent of people (in parts of the Central Valley) could be impacted by nitrates by 2050,"" said Deborah Ores of the CWC.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
"
But when they find out about the nitrates, all hope will be lost, he said.","September 20, 2016","['Hollywood', 'Porterville']",[],Nitrates Poison Water in California's Central Valley - Community Water Center,https://www.communitywatercenter.org/nitrates_poison_water
" Within California, according to Community Water Center(CWC), a well-respected grassroots organization working to address water and equity issues in California’s Central Valley, thousands of people in the San Joaquin River Basin in the southern Central Valley have no clean drinking water due to drought or contamination of ground water supplies with arsenic, nitrates, or pesticides.","September 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",[],[],"For Some People in the U.S., Every Day is a Day without Water - Community Water Center",https://www.communitywatercenter.org/for_some_people
" Within California, according to Community Water Center(CWC), a well-respected grassroots organization working to address water and equity issues in California’s Central Valley, thousands of people in the San Joaquin River Basin in the southern Central Valley have no clean drinking water due to drought or contamination of ground water supplies with arsenic, nitrates, or pesticides.","September 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",[],[],"For Some People in the U.S., Every Day is a Day without Water - Community Water Center",https://www.communitywatercenter.org/for_some_people
" The Quintana family, like other residents of Seville, CA, had access only to ground water contaminated with nitrate at levels that were much higher than federal health standards deem safe.","September 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",[],[],"For Some People in the U.S., Every Day is a Day without Water - Community Water Center",https://www.communitywatercenter.org/for_some_people
" Within California, according to Community Water Center(CWC), a well-respected grassroots organization working to address water and equity issues in California’s Central Valley, thousands of people in the San Joaquin River Basin in the southern Central Valley have no clean drinking water due to drought or contamination of ground water supplies with arsenic, nitrates, or pesticides.","September 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protecting...', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",[],[],"For Some People in the U.S., Every Day is a Day without Water - Community Water Center",https://www.communitywatercenter.org/for_some_people
"
California’s Community Water Center reports that water systems serving predominantly Latino and low-income communities have disproportionately high occurrences of arsenic and nitrate contamination, and that many low-income residents in affected areas are paying up to 10 percent of their monthly income to purchase clean, safe water.","September 06, 2016","['Freedom', 'Davis']",[],California Or A Third World Country? - Community Water Center,https://www.communitywatercenter.org/third_world_country
"
California’s Community Water Center reports that water systems serving predominantly Latino and low-income communities have disproportionately high occurrences of arsenic and nitrate contamination, and that many low-income residents in affected areas are paying up to 10 percent of their monthly income to purchase clean, safe water.","September 06, 2016","['Freedom', 'Davis']",[],California Or A Third World Country? - Community Water Center,https://www.communitywatercenter.org/third_world_country
"
“Managing nitrogen in the ag sector so that the nitrates going into groundwater start to net out zero or negative is a big challenge because we’re nowhere near being in balance,” says Tom Tomich, founding director of UC Davis’s Agriculture Sustainability Institute and the report's lead author.","August 10, 2016",[],[],California Agriculture Is The Largest Source Of Nitrogen Pollution In The State - Community Water Center,https://www.communitywatercenter.org/agriculture_largest_source_nitrogen_pollution
" But even if we used everything we’ve got, we’d still have two-thirds of the nitrate to groundwater problem.","August 10, 2016",[],[],California Agriculture Is The Largest Source Of Nitrogen Pollution In The State - Community Water Center,https://www.communitywatercenter.org/agriculture_largest_source_nitrogen_pollution
"
“Managing nitrogen in the ag sector so that the nitrates going into groundwater start to net out zero or negative is a big challenge because we’re nowhere near being in balance,” says Tom Tomich, founding director of UC Davis’s Agriculture Sustainability Institute and the report's lead author.","August 10, 2016",[],[],California Agriculture Is The Largest Source Of Nitrogen Pollution In The State - Community Water Center,https://www.communitywatercenter.org/agriculture_largest_source_nitrogen_pollution
" It is not safe to have arsenic or 1,2,3-TCP or anything of that nature in your drinking water.","August 10, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Visalia'],[],White House Honors Tulare County Water Advocate - Community Water Center,https://www.communitywatercenter.org/whitehousehonors
"
“It is not okay to have nitrates in your drinking water.","August 10, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Visalia'],[],White House Honors Tulare County Water Advocate - Community Water Center,https://www.communitywatercenter.org/whitehousehonors
"
“It is not okay to have nitrates in your drinking water.","August 10, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Visalia'],[],White House Honors Tulare County Water Advocate - Community Water Center,https://www.communitywatercenter.org/whitehousehonors
"org/2016/07/21/op-ed-help-protect-our-communities-from-123-trichloropropane/
 
A few weeks ago, a Bakersfield television report on the carcinogenic water contaminant 1,2,3-trichloropropane (1,2,3-TCP) caught many local residents by surprise.","July 22, 2016","['Arvin', 'Fairview', 'Vernon', 'Bakersfield']",['Kern'],Time to Set a Legal Limit for Carcinogen Found in Kern’s Water - Community Water Center,https://www.communitywatercenter.org/carcinogen_in_kern_water
Many of the communities have tap water with unsafe levels of arsenic or nitrates.,"July 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Washington'],[],South Valley Woman Headed to Washington D.C. to be Honored for Being a Champion of Change - Community Water Center,https://www.communitywatercenter.org/south_valley
Many of the communities have tap water with unsafe levels of arsenic or nitrates.,"July 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Washington'],[],South Valley Woman Headed to Washington D.C. to be Honored for Being a Champion of Change - Community Water Center,https://www.communitywatercenter.org/south_valley
Many of the communities have tap water with unsafe levels of arsenic or nitrates.,"July 14, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many",['Washington'],[],South Valley Woman Headed to Washington D.C. to be Honored for Being a Champion of Change - Community Water Center,https://www.communitywatercenter.org/south_valley
"
Eventually an opening did come his way via the Community Water Center, which works to address many of the water issues that Arvin faces, one of the most pressing of which is the high levels of arsenic in the local ground water.","June 24, 2016","['Bakersfield', 'Arvin', 'Modesto', 'Berkeley']",['Kern'],Gerardo Tinoco – On a Mission to Secure Clean Water for Arvin - Community Water Center,https://www.communitywatercenter.org/gerardo_tinoco_on_a_mission
"
A naturally recurring contaminant, arsenic is a know carcinogen.","June 24, 2016","['Bakersfield', 'Arvin', 'Modesto', 'Berkeley']",['Kern'],Gerardo Tinoco – On a Mission to Secure Clean Water for Arvin - Community Water Center,https://www.communitywatercenter.org/gerardo_tinoco_on_a_mission
" He compared it to arsenic, saying a one time exposure will not make you sick, but research links years of exposure with multiple kinds of cancer.","June 23, 2016","['Shafter', 'Robbins', 'Lamont']",['Kern'],"Excessive levels of carcinogen 1,2,3-TCP found in Kern County water - Community Water Center",https://www.communitywatercenter.org/carcinogen_1_2_3_tcp
" Coli, nitrate, 1,2,3-TCP, DBCP, arsenic, uranium, and hexavalent chromium.","June 16, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Martinez', 'Bakersfield']",[],Pilot Program Provides Insight into Private Well Water Quality  - Community Water Center,https://www.communitywatercenter.org/privatewelltesting
" Coli, nitrate, 1,2,3-TCP, DBCP, arsenic, uranium, and hexavalent chromium.","June 16, 2016\r\n· ', '\xa0 By: Sean Breslin Published on March 24, 2017 Read the original story HERE Nearly 300 water systems in California did not comply with safe drinking water standards, many of...', '\xa0 By: Susan Sward Published on March 23, 2017 Read the full story HERE Groundwater regulations are being implemented throughout the state of California to meet long-term deadlines for protect","['Martinez', 'Bakersfield']",[],Pilot Program Provides Insight into Private Well Water Quality  - Community Water Center,https://www.communitywatercenter.org/privatewelltesting
"
In parts of Thermal, for instance, the tap water is tainted with hazardous contaminants such as naturally occurring arsenic.","June 08, 2016","['Tulare', 'Merced', 'Industry', 'Indio', 'Coachella']","['Kern', 'Tulare', 'Merced']",Bill Would Ban New Wells in Parts of California - Community Water Center,https://www.communitywatercenter.org/bill_new_wells
 Joaquin spoke passionately about the stress of sending his student to a school with arsenic-contaminated water and his recent relief in knowing that his son at Haven Drive Elementary School now has access to safe drinking water through new Agua4All fountains.,"June 07, 2016",['Arvin'],[],Assemblymember Garcia and CWC Host Briefing on School Drinking Water,https://www.communitywatercenter.org/garcia_school_drinking_water
"
El Camino Real Elementary School in Arvin, an agricultural community near Bakersfield, has given students durable water bottles and installed state-of-the-art filling stations that filter out harmful levels of arsenic found in the water supply there.","June 06, 2016","['Fresno', 'Washington', 'Tulare', 'Healdsburg', 'Sacramento', 'Camino']","['Sacramento', 'Tulare', 'Fresno', 'Lake']",Contaminated drinking water threatens California schools - Community Water Center,https://www.communitywatercenter.org/cabinetreportschools
" Bacterial and arsenic violations were the most common types of violations impacting schools, followed by the pesticide DBCP, disinfectant byproducts, and nitrates.","June 06, 2016","['Fresno', 'Washington', 'Tulare', 'Healdsburg', 'Sacramento', 'Camino']","['Sacramento', 'Tulare', 'Fresno', 'Lake']",Contaminated drinking water threatens California schools - Community Water Center,https://www.communitywatercenter.org/cabinetreportschools
", the water systems serving them experienced bacterial violations in more than one year) was between 254 and 332; 177 to 207 schools were impacted by recurring arsenic violations.","June 06, 2016","['Fresno', 'Washington', 'Tulare', 'Healdsburg', 'Sacramento', 'Camino']","['Sacramento', 'Tulare', 'Fresno', 'Lake']",Contaminated drinking water threatens California schools - Community Water Center,https://www.communitywatercenter.org/cabinetreportschools
" Bacterial and arsenic violations were the most common types of violations impacting schools, followed by the pesticide DBCP, disinfectant byproducts, and nitrates.","June 06, 2016","['Fresno', 'Washington', 'Tulare', 'Healdsburg', 'Sacramento', 'Camino']","['Sacramento', 'Tulare', 'Fresno', 'Lake']",Contaminated drinking water threatens California schools - Community Water Center,https://www.communitywatercenter.org/cabinetreportschools
" Bacterial and arsenic violations were the most common types of violations impacting schools, followed by the pesticide DBCP, disinfectant byproducts, and nitrates.","June 06, 2016","['Fresno', 'Washington', 'Tulare', 'Healdsburg', 'Sacramento', 'Camino']","['Sacramento', 'Tulare', 'Fresno', 'Lake']",Contaminated drinking water threatens California schools - Community Water Center,https://www.communitywatercenter.org/cabinetreportschools
"
Water in the low-income community south of Tulare has long been contaminated with arsenic, forcing residents to buy bottled water.","June 02, 2016","['Tulare', 'Doyle']",['Tulare'],Residents in Tulare County community open taps to clean water - Community Water Center,https://www.communitywatercenter.org/mathenytract
" As long as they’ve lived here, the water that comes out of their taps has been contaminated with arsenic and other chemicals; they refuse to drink it, and the very act of taking a shower can make them feel unclean.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
"”

The two most common hazards in this part of the Central Valley are arsenic, which occurs naturally, and nitrates from fertilizers spread over vast fields and from animal wastes that leach into the groundwater.","May 27, 2016","['Seville', 'Farmersville', 'Tulare', 'Stanford', 'Arnold', 'Porterville', 'Sacramento']","['Sacramento', 'Tulare']",The Flint of California - Community Water Center,https://www.communitywatercenter.org/the_flint_of_california
